,year,region,value,units
584,2086,Nonthaburi,3779989.141,THB (current)
585,2086,Rest of Thailand,110203168.1,THB (current)
586,2087,Thailand,191580657.6,THB (current)
587,2087,Bangkok,64735974.24,THB (current)
588,2087,Samut Prakan,8758132.419,THB (current)
589,2087,Nonthaburi,3916068.75,THB (current)
590,2087,Rest of Thailand,114170482.2,THB (current)
591,2088,Thailand,198477561.3,THB (current)
592,2088,Bangkok,67066469.31,THB (current)
593,2088,Samut Prakan,9073425.186,THB (current)
594,2088,Nonthaburi,4057047.225,THB (current)
595,2088,Rest of Thailand,118280619.5,THB (current)
596,2089,Thailand,205622753.5,THB (current)
597,2089,Bangkok,69480862.2,THB (current)
598,2089,Samut Prakan,9400068.493,THB (current)
599,2089,Nonthaburi,4203100.925,THB (current)
600,2089,Rest of Thailand,122538721.8,THB (current)
601,2090,Thailand,213025172.6,THB (current)
602,2090,Bangkok,71982173.24,THB (current)
603,2090,Samut Prakan,9738470.959,THB (current)
604,2090,Nonthaburi,4354412.558,THB (current)
605,2090,Rest of Thailand,126950115.8,THB (current)
606,2091,Thailand,220694078.8,THB (current)
607,2091,Bangkok,74573531.48,THB (current)
608,2091,Samut Prakan,10089055.91,THB (current)
609,2091,Nonthaburi,4511171.41,THB (current)
610,2091,Rest of Thailand,131520320,THB (current)
611,2092,Thailand,228639065.6,THB (current)
612,2092,Bangkok,77258178.61,THB (current)
613,2092,Samut Prakan,10452261.93,THB (current)
614,2092,Nonthaburi,4673573.581,THB (current)
615,2092,Rest of Thailand,136255051.5,THB (current)
616,2093,Thailand,236870072,THB (current)
617,2093,Bangkok,80039473.04,THB (current)
618,2093,Samut Prakan,10828543.36,THB (current)
619,2093,Nonthaburi,4841822.23,THB (current)
620,2093,Rest of Thailand,141160233.4,THB (current)
621,2094,Thailand,245397394.6,THB (current)
622,2094,Bangkok,82920894.07,THB (current)
623,2094,Samut Prakan,11218370.92,THB (current)
624,2094,Nonthaburi,5016127.83,THB (current)
625,2094,Rest of Thailand,146242001.8,THB (current)
626,2095,Thailand,254231700.8,THB (current)
627,2095,Bangkok,85906046.26,THB (current)
628,2095,Samut Prakan,11622232.27,THB (current)
629,2095,Nonthaburi,5196708.432,THB (current)
630,2095,Rest of Thailand,151506713.8,THB (current)
631,2096,Thailand,263384042,THB (current)
632,2096,Bangkok,88998663.92,THB (current)
633,2096,Samut Prakan,12040632.63,THB (current)
634,2096,Nonthaburi,5383789.936,THB (current)
635,2096,Rest of Thailand,156960955.5,THB (current)
636,2097,Thailand,272865867.5,THB (current)
637,2097,Bangkok,92202615.83,THB (current)
638,2097,Samut Prakan,12474095.41,THB (current)
639,2097,Nonthaburi,5577606.373,THB (current)
640,2097,Rest of Thailand,162611549.9,THB (current)
641,2098,Thailand,282689038.8,THB (current)
642,2098,Bangkok,95521910,THB (current)
643,2098,Samut Prakan,12923162.84,THB (current)
644,2098,Nonthaburi,5778400.203,THB (current)
645,2098,Rest of Thailand,168465565.7,THB (current)
646,2099,Thailand,292865844.2,THB (current)
647,2099,Bangkok,98960698.76,THB (current)
648,2099,Samut Prakan,13388396.7,THB (current)
649,2099,Nonthaburi,5986422.61,THB (current)
650,2099,Rest of Thailand,174530326.1,THB (current)
651,2100,Thailand,303409014.5,THB (current)
652,2100,Bangkok,102523283.9,THB (current)
653,2100,Samut Prakan,13870378.98,THB (current)
654,2100,Nonthaburi,6201933.824,THB (current)
655,2100,Rest of Thailand,180813417.8,THB (current)
