year,region,value,units
2075,Bangkok,1.06043E+12,USD (constant 2005)
2075,Samut Prakan,1.43466E+11,USD (constant 2005)
2075,Nonthaburi,64148697244,USD (constant 2005)
2075,Rest of Thailand,1.87021E+12,USD (constant 2005)
2076,Thailand,3.25124E+12,USD (constant 2005)
2076,Bangkok,1.09861E+12,USD (constant 2005)
2076,Samut Prakan,1.48631E+11,USD (constant 2005)
2076,Nonthaburi,66458050345,USD (constant 2005)
2076,Rest of Thailand,1.93754E+12,USD (constant 2005)
2077,Thailand,3.36828E+12,USD (constant 2005)
2077,Bangkok,1.13816E+12,USD (constant 2005)
2077,Samut Prakan,1.53982E+11,USD (constant 2005)
2077,Nonthaburi,68850540157,USD (constant 2005)
2077,Rest of Thailand,2.00729E+12,USD (constant 2005)
2078,Thailand,3.48954E+12,USD (constant 2005)
2078,Bangkok,1.17913E+12,USD (constant 2005)
2078,Samut Prakan,1.59525E+11,USD (constant 2005)
2078,Nonthaburi,71329159603,USD (constant 2005)
2078,Rest of Thailand,2.07956E+12,USD (constant 2005)
2079,Thailand,3.61517E+12,USD (constant 2005)
2079,Bangkok,1.22158E+12,USD (constant 2005)
2079,Samut Prakan,1.65268E+11,USD (constant 2005)
2079,Nonthaburi,73897009349,USD (constant 2005)
2079,Rest of Thailand,2.15442E+12,USD (constant 2005)
2080,Thailand,3.74531E+12,USD (constant 2005)
2080,Bangkok,1.26556E+12,USD (constant 2005)
2080,Samut Prakan,1.71217E+11,USD (constant 2005)
2080,Nonthaburi,76557301685,USD (constant 2005)
2080,Rest of Thailand,2.23198E+12,USD (constant 2005)
2081,Thailand,3.88014E+12,USD (constant 2005)
2081,Bangkok,1.31112E+12,USD (constant 2005)
2081,Samut Prakan,1.77381E+11,USD (constant 2005)
2081,Nonthaburi,79313364546,USD (constant 2005)
2081,Rest of Thailand,2.31233E+12,USD (constant 2005)
2082,Thailand,4.01983E+12,USD (constant 2005)
2082,Bangkok,1.35832E+12,USD (constant 2005)
2082,Samut Prakan,1.83767E+11,USD (constant 2005)
2082,Nonthaburi,82168645670,USD (constant 2005)
2082,Rest of Thailand,2.39557E+12,USD (constant 2005)
2083,Thailand,4.16454E+12,USD (constant 2005)
2083,Bangkok,1.40722E+12,USD (constant 2005)
2083,Samut Prakan,1.90383E+11,USD (constant 2005)
2083,Nonthaburi,85126716914,USD (constant 2005)
2083,Rest of Thailand,2.48182E+12,USD (constant 2005)
2084,Thailand,4.31447E+12,USD (constant 2005)
2084,Bangkok,1.45788E+12,USD (constant 2005)
2084,Samut Prakan,1.97236E+11,USD (constant 2005)
2084,Nonthaburi,88191278723,USD (constant 2005)
2084,Rest of Thailand,2.57116E+12,USD (constant 2005)
2085,Thailand,4.46979E+12,USD (constant 2005)
2085,Bangkok,1.51036E+12,USD (constant 2005)
2085,Samut Prakan,2.04337E+11,USD (constant 2005)
2085,Nonthaburi,91366164757,USD (constant 2005)
2085,Rest of Thailand,2.66372E+12,USD (constant 2005)
2086,Thailand,4.6307E+12,USD (constant 2005)
2086,Bangkok,1.56473E+12,USD (constant 2005)
2086,Samut Prakan,2.11693E+11,USD (constant 2005)
2086,Nonthaburi,94655346688,USD (constant 2005)
2086,Rest of Thailand,2.75962E+12,USD (constant 2005)
2087,Thailand,4.7974E+12,USD (constant 2005)
2087,Bangkok,1.62106E+12,USD (constant 2005)
2087,Samut Prakan,2.19314E+11,USD (constant 2005)
2087,Nonthaburi,98062939169,USD (constant 2005)
2087,Rest of Thailand,2.85896E+12,USD (constant 2005)
2088,Thailand,4.97011E+12,USD (constant 2005)
2088,Bangkok,1.67942E+12,USD (constant 2005)
2088,Samut Prakan,2.27209E+11,USD (constant 2005)
2088,Nonthaburi,1.01593E+11,USD (constant 2005)
2088,Rest of Thailand,2.96188E+12,USD (constant 2005)
2089,Thailand,5.14903E+12,USD (constant 2005)
2089,Bangkok,1.73988E+12,USD (constant 2005)
2089,Samut Prakan,2.35389E+11,USD (constant 2005)
2089,Nonthaburi,1.05251E+11,USD (constant 2005)
2089,Rest of Thailand,3.06851E+12,USD (constant 2005)
2090,Thailand,5.3344E+12,USD (constant 2005)
2090,Bangkok,1.80252E+12,USD (constant 2005)
2090,Samut Prakan,2.43863E+11,USD (constant 2005)
2090,Nonthaburi,1.0904E+11,USD (constant 2005)
2090,Rest of Thailand,3.17898E+12,USD (constant 2005)
2091,Thailand,5.52644E+12,USD (constant 2005)
2091,Bangkok,1.86741E+12,USD (constant 2005)
2091,Samut Prakan,2.52642E+11,USD (constant 2005)
2091,Nonthaburi,1.12965E+11,USD (constant 2005)
2091,Rest of Thailand,3.29342E+12,USD (constant 2005)
2092,Thailand,5.72539E+12,USD (constant 2005)
2092,Bangkok,1.93464E+12,USD (constant 2005)
2092,Samut Prakan,2.61737E+11,USD (constant 2005)
2092,Nonthaburi,1.17032E+11,USD (constant 2005)
2092,Rest of Thailand,3.41199E+12,USD (constant 2005)
2093,Thailand,5.9315E+12,USD (constant 2005)
2093,Bangkok,2.00428E+12,USD (constant 2005)
2093,Samut Prakan,2.71159E+11,USD (constant 2005)
2093,Nonthaburi,1.21245E+11,USD (constant 2005)
2093,Rest of Thailand,3.53482E+12,USD (constant 2005)
2094,Thailand,6.14504E+12,USD (constant 2005)
2094,Bangkok,2.07644E+12,USD (constant 2005)
2094,Samut Prakan,2.80921E+11,USD (constant 2005)
2094,Nonthaburi,1.2561E+11,USD (constant 2005)
2094,Rest of Thailand,3.66207E+12,USD (constant 2005)
2095,Thailand,6.36626E+12,USD (constant 2005)
2095,Bangkok,2.15119E+12,USD (constant 2005)
2095,Samut Prakan,2.91034E+11,USD (constant 2005)
2095,Nonthaburi,1.30132E+11,USD (constant 2005)
2095,Rest of Thailand,3.79391E+12,USD (constant 2005)
2096,Thailand,6.59544E+12,USD (constant 2005)
2096,Bangkok,2.22863E+12,USD (constant 2005)
2096,Samut Prakan,3.01512E+11,USD (constant 2005)
2096,Nonthaburi,1.34816E+11,USD (constant 2005)
2096,Rest of Thailand,3.93049E+12,USD (constant 2005)
2097,Thailand,6.83288E+12,USD (constant 2005)
2097,Bangkok,2.30886E+12,USD (constant 2005)
2097,Samut Prakan,3.12366E+11,USD (constant 2005)
2097,Nonthaburi,1.3967E+11,USD (constant 2005)
2097,Rest of Thailand,4.07198E+12,USD (constant 2005)
2098,Thailand,7.07886E+12,USD (constant 2005)
2098,Bangkok,2.39198E+12,USD (constant 2005)
2098,Samut Prakan,3.23611E+11,USD (constant 2005)
2098,Nonthaburi,1.44698E+11,USD (constant 2005)
2098,Rest of Thailand,4.21857E+12,USD (constant 2005)
2099,Thailand,7.3337E+12,USD (constant 2005)
2099,Bangkok,2.47809E+12,USD (constant 2005)
2099,Samut Prakan,3.35261E+11,USD (constant 2005)
2099,Nonthaburi,1.49907E+11,USD (constant 2005)
2099,Rest of Thailand,4.37044E+12,USD (constant 2005)
2100,Thailand,7.59772E+12,USD (constant 2005)
2100,Bangkok,2.5673E+12,USD (constant 2005)
2100,Samut Prakan,3.47331E+11,USD (constant 2005)
2100,Nonthaburi,1.55304E+11,USD (constant 2005)
2100,Rest of Thailand,4.52778E+12,USD (constant 2005)
